English-sentence,ISL-GLOSS
hello how are you,HELLO YOU HOW?
welcome home,HOME WELCOME
familly is big,FAMILY BIG
mother cooks food,MOTHER FOOD COOK
Boy is short,BOY SHORT
girl is hungry,GIRL HUNGRY
Marriage is today,MARRAIGE TODAY
aunty is watring plants,AUNTY PLANTS WATER 
 uncle gets fruits,UNCLE FRUITS GET
grandfather is sick,GRANDFATHER SICK
Grand mother is going to market,GRAND MOTHER MARKET GO 
Grandmother will go the market,GRANDMOTHER MARKET GO WILL
grandmother had gone to market,BEFORE GRAND MOTHER MARKET GO FINISH
baby is cute,BABY CUTE
the couple just seperated ,BOTH JUST SEPERATE
they were granted divorced,THEY APPLY DIVORCE
which places can we go to see,WE PLACE SEE GO  WHICH 
i came home very late,I HOME REACH VERY LATE
this is not mywork ,THIS WORK MY NOT
i will let you know in a day,THIS DAY I INFORM YOU
we are going out in night,WE NIGHT GO OUT
This week we are having holiday,WE THIS WEEK HOLIDAY
christmas is a month of celebration,CHRISTMAS MONTH CELEBRATION
this is not a leap year,THIS YEAR  FEB 29 DATE LEAP NOT
raju came before tanu,RAJU FIRST COME TANU AFTER
i will eat after him,FIRST HIM EAT AFTER I EAT
finish your work ,YOU WORK FINISH
the temparature near furnac is hot,FURNAC MACHINE NEAR TEMPERATURE HOT
it is veryhot here,HOT VERY HERE
food is tastty,FOOD TASTE GOOD
it is cold coffee ,IT COLD COFFEE 
it is cold in pune,PUNE COLD
pizza is not healhty food,PIZZA FOOD HEALTHY NOT
milk is good for health,MILK HEALTH GOOD
children like to drink milk,CHILDREN MILK DRINK LIKE
coffee is hot,COFFEE HOT
curd is sweet,CURD SWEET
eggs are white,EGG WHITE
my bag is of blue colour,MY BAG COLOR BLUE
the dress is in green,DRESS COLOR GREEN
Black eyes ,EYESCOLOR BLACK 
i love black  coffee,I BLACK COFFE LIKE
she has no money,SHE MONEY NOT
apple are nutricious,APPLE IN VITAMIN-MINERAL HAVE
cheese toppings are good,CHEESE TOPINGS GOOD
he drinks too much,HE DRINK MORE
she is born with silver spoon ,SHE LIVE LIFE LIKE QUEEN
i eat fruits with fork,I FRUIT FORK EAT
cup is of white colour,CUP COLOR WHITE LIGHT
cereals have protein,CEREALS PROTEIN HAVE 
water is cold,WATER  COLD
cookies are stale,COOKIES STALE
cookies are fresh,COOKIES FRESH
clothes are old,CLOTHES OLD
shirt is white,SHIRT WHITE
pants are old,PANTS  OLD
socks are torn,SOCKS TORN
shoes are dirty,SHOES DIRTY
Health is important,HEALTH IMPORTANT
wash your hands,YOUR HANDS WASH  
i have to give her ten rupees,I HER GIVE TEN RUPEES HAVE 
dollars are american currency,MONEY AMERICAN USE DOLLARS 
coins are too many,COINS MANY TOO 
what is thecost of tickets, TICKETS COST  WHAT 
 i have five paisa, I PAISA FIVE HAVE 
